web-scraper-order,web-scraper-start-url,article_link,article_link-href,détailes,Numbers_bed,numbers_SB,Superficies,adresse,Prix,image_link
"1732651722-1","https://www.expat-dakar.com/appartements-a-louer?page=122","F2 MEUBLE A LOUER A LA CITE BATRAIN
                                1 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        18. sept., 12:01
                                    
                    50 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/f2-meuble-a-louer-a-la-cite-batrain-5536491","F2 MEUBLE A LOUER A LA CITE BATRAIN","1","2","","Mermoz
            
                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4e9e2bb42c5cec8cf6d8cd75c9a05715/-/horizon-files-prod/ed/picture/q0ggxmp6/03aa6a1beff4d3d16991ae12cfeff2345a8e444d.jpg"
"1732651726-2","https://www.expat-dakar.com/appartements-a-louer?page=122","Appartement f4 à louer à fann résidence
                                3 chambre287 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        17. sept., 06:29
                                    
                    2 750 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-a-fann-residence-5557858","Appartement f4 à louer à fann résidence","3","3","287 m²","Fann
            
                Dakar","2 750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a0fea6cb58ebdc3b2880c233cddfd980/-/horizon-files-prod/ed/picture/qkrrk9gw/36a13d033e83910046b45d69251d477c653b3aa9.jpg"
"1732651731-3","https://www.expat-dakar.com/appartements-a-louer?page=122","Appartements neufs à louer à Diass
                                2 chambre80 m²
                                                                                    Diass,
                                                                                Thiès
                                    
                                        vendredi, 06:41
                                    
                    150 000 F Cfa
                        
                        767832727
                    
                        767832727","https://www.expat-dakar.com/annonce/appartements-neufs-a-louer-a-diass-5438381","Appartements neufs à louer à Diass","2","2","80 m²","Diass
            
                Thiès","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c424e2b9ea613518a60d8e161b407cf3/-/horizon-files-prod/ed/picture/qj44q05r/52d131550a5293251f8df31fac7977e93c147254.jpg"
"1732651735-4","https://www.expat-dakar.com/appartements-a-louer?page=122","F5 A LOUER A kounoune
                                4 chambre
                                                                                    Kounoune,
                                                                                Dakar
                                    
                                        18. sept., 11:59
                                    
                    175 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/f5-a-louer-a-kounoune-5581378","F5 A LOUER A kounoune","4","3","","Kounoune
            
                Dakar","175 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e26d02eebfda9b8d767440a533453ea/-/horizon-files-prod/ed/picture/qm552pem/a9b0b6bd46374a0a6f61de6c56f3a8da2042c2b2.jpg"
"1732651744-5","https://www.expat-dakar.com/appartements-a-louer?page=122","Appartement F5 Vue sur Mer au Plateau
                                4 chambre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. oct., 13:25
                                    
                    3 500 000 F Cfa
                        
                        772293834
                    
                        769023031","https://www.expat-dakar.com/annonce/appartement-f5-vue-sur-mer-au-plateau-5509526","Appartement F5 Vue sur Mer au Plateau","4","5","","Plateau
            
                Dakar","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc0101afce1fc89d6a4469168d98ef7b/-/horizon-files-prod/ed/picture/q9mmdgr0/07203d09e8a103d4eb6b113297001c056970dc8a.jpg"
"1732651749-6","https://www.expat-dakar.com/appartements-a-louer?page=122","UN TRÈS BEAU F4 AUX ALMADIES
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        dimanche, 23:03
                                    
                    1 500 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/un-tres-beau-f4-aux-almadies-5536890","UN TRÈS BEAU F4 AUX ALMADIES","3","","200 m²","Almadies
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/129b11df903738643be8174b648235ee/-/horizon-files-prod/ed/picture/qv440n88/65cc84fdc26ebe293ccbb661ab7d2d158fc0aa83.jpg"
"1732651754-7","https://www.expat-dakar.com/appartements-a-louer?page=122","F3 Meuble à Louer à la Cité Sipres VDN
                                2 chambre
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        18. sept., 11:58
                                    
                    1 000 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/f3-meuble-a-louer-a-la-cite-sipres-vdn-5772171","F3 Meuble à Louer à la Cité Sipres VDN","2","2","","Cité keur gorgui
            
                Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c270e12cf71348df4edc3e3963b6c7b/-/horizon-files-prod/ed/picture/qngd8grw/70348b8ea884b96576f36437c933c53aff26bef7.jpg"
"1732651758-8","https://www.expat-dakar.com/appartements-a-louer?page=122","F3 MEUBLE à Louer à Mermoz
                                2 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        18. sept., 11:57
                                    
                    1 500 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/f3-meuble-a-louer-a-mermoz-5679815","F3 MEUBLE à Louer à Mermoz","2","3","","Mermoz
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e96f0f99373ba1e0119536f178c5d95f/-/horizon-files-prod/ed/picture/qj4j6zrz/a9c9c1f9d93a1dff64a240cab59edd0a5130c938.jpg"
"1732651763-9","https://www.expat-dakar.com/appartements-a-louer?page=122","Magasin a louer aux Mamelles
                                1 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        18. sept., 11:54
                                    
                    150 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/magasin-a-louer-aux-mamelles-5536443","Magasin a louer aux Mamelles","1","1","","Mamelles
            
                Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4021863d914e1c079d97327e7ff16bc6/-/horizon-files-prod/ed/picture/qzvvq776/ac44b6b5c1c38c155d7b46f4aff003d5fb58814b.jpg"
"1732651767-10","https://www.expat-dakar.com/appartements-a-louer?page=122","F2 MEUBLE A LOUER AUX MAMELLES
                                1 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        26. sept., 13:38
                                    
                    450 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/f2-meuble-a-louer-aux-mamelles-5536525","F2 MEUBLE A LOUER AUX MAMELLES","1","2","","Mamelles
            
                Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/26ddd449cedc516faf554b852e7243fb/-/horizon-files-prod/ed/picture/q0ggxm2k/64632896d12a4dacb14112b26b11f73ce5639a32.jpg"
