web-scraper-order,web-scraper-start-url,details,number_of_bedrooms,address,price,image_link-src
"1732707812-1","https://www.expat-dakar.com/appartements-meubles?page=78","Appartement F4 meublé VUE MER à Ouakam","3 chambre","Plateau,
                                                                                Dakar","2 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d7f974f7f54abbeb2492649c9fae748/-/horizon-files-prod/ed/picture/qq42vxd7/51bbb85371327e66dc44482c1f0ed68fb8e3fab0.jpg"
"1732707812-2","https://www.expat-dakar.com/appartements-meubles?page=78","chic villa a saly avec piscine","3 chambre","Saly,
                                                                                Thiès","100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/2fe1b34f9ce8c0afb0caa2a1b42c520f/-/horizon-files-prod/ed/picture/qm5pnr8w/b7150f31580119cd2d08655adfad01686006d98c.jpg"
"1732707812-3","https://www.expat-dakar.com/appartements-meubles?page=78","","","","",""
"1732707812-4","https://www.expat-dakar.com/appartements-meubles?page=78","VILLAS MEUBLÉ À THIES","3 chambre","Thiès,
                                                                                Thiès","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f2e5035f0a3b148e753a96cb56b5738/-/horizon-files-prod/ed/picture/q0gwk0zg/9924b1d226a7dbd8159a777fe123853513cec70d.jpg"
"1732707812-5","https://www.expat-dakar.com/appartements-meubles?page=78","Chic et choc studio équipé","1 chambre","Sicap foire,
                                                                                Dakar","17 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/142f0770c19c0f9fe9c82fad4060302a/-/horizon-files-prod/ed/picture/qngxxj2k/d5927e25873589305fe905727e3c4c235ab05309.jpg"
"1732707812-6","https://www.expat-dakar.com/appartements-meubles?page=78","Appartements Meublés","3 chambre","Cité Damel,
                                                                                Dakar","26 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/df32459b8b0aaa9ba2f35bd7e71c4ce5/-/horizon-files-prod/ed/picture/qq4442kn/32eb7aa2ea7433e69f16b10d63a0057890721808.jpg"
"1732707812-7","https://www.expat-dakar.com/appartements-meubles?page=78","Joli 2 chambres salon cite keur gorgui vdn","2 chambre","Sacré-cœur,
                                                                                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/aafa9d588055542b77ff1e5b041cc9c5/-/horizon-files-prod/ed/picture/qnz8g4v/f799a7c41156eb707d7bf97d0dfc8aeb58f9afc9.jpg"
"1732707812-8","https://www.expat-dakar.com/appartements-meubles?page=78","Studio meublé à louer au Front de terre","1 chambre","Zone de captage,
                                                                                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/c3f5ea49c26fce97d76c0b3cb12d76fd/-/horizon-files-prod/ed/picture/q74kk98/2ad32e2aa6a0cf5d516421a9db63bbc889ab3a74.jpg"
"1732707812-9","https://www.expat-dakar.com/appartements-meubles?page=78","Appartement  meublés à louer à Front de terre","1 chambre","Zone de captage,
                                                                                Dakar","17 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/783ad9323e09920e17b52ca0e7b3cff4/-/horizon-files-prod/ed/picture/qdmm46w/47831d3e73a3c17e8e15539fa2976e70d8f99c7f.jpg"
"1732707815-10","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement F4 meublé VUE MER à Ouakam","3 chambre","Plateau,
                                                                                Dakar","2 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d7f974f7f54abbeb2492649c9fae748/-/horizon-files-prod/ed/picture/qq42vxd7/51bbb85371327e66dc44482c1f0ed68fb8e3fab0.jpg"
"1732707815-11","https://www.expat-dakar.com/appartements-meubles?page=77","Studio (studette) meublé à louer","1 chambre","Almadies,
                                                                                Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d059385f26d69c6ca41852c6156a5df2/-/horizon-files-prod/ed/picture/qxj27zmz/52325a83e0664d12968c755285689103cabf481a.jpg"
"1732707815-12","https://www.expat-dakar.com/appartements-meubles?page=77","","","","",""
"1732707815-13","https://www.expat-dakar.com/appartements-meubles?page=77","UN GRAND APPARTEMENT F3 MEUBLÉ","2 chambre","Point-e,
                                                                                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac7a421d52c04a07b04a89c053bbbc3c/-/horizon-files-prod/ed/picture/q9m9vrkj/c1b64ab343f790b703972cdca2864ed3a91e4087.jpg"
"1732707815-14","https://www.expat-dakar.com/appartements-meubles?page=77","Espace Coworking Bureau équipé plus fibre optique","","Sicap Sacré-cœur,
                                                                                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a70f4e49308c5eb663c61b568608d46/-/horizon-files-prod/ed/picture/qj4jr5gz/3ea257f803894de348513f8ad5e2efa3b36e9aaa.jpg"
"1732707815-15","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement meublé","2 chambre","Liberte 6 extension,
                                                                                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a55d6ccc4f3bff13803f10b00753e3f5/-/horizon-files-prod/ed/picture/qrzvwq0q/216cac4a7b98898a63aa5b4165df4fbcd004287b.jpg"
"1732707815-16","https://www.expat-dakar.com/appartements-meubles?page=77","STUDIO MEUBLE GRAND STANDING A LOUER","1 chambre","Point-e,
                                                                                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/cfc51957b12ea8f3149eda071dc39fbd/-/horizon-files-prod/ed/picture/q9m992ev/99d8eda4b15de034d9f2d48c9216580248821d9f.jpg"
"1732707815-17","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement meublé","2 chambre","Cité keur gorgui,
                                                                                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a6c2462979865567b0f3668946e00d7/-/horizon-files-prod/ed/picture/qpddgvjp/0ea24efa852e080748b082041241fd85628d7db6.jpg"
"1732707815-18","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement meublé à  Mermoz","1 chambre","Mermoz,
                                                                                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa196204bfe683d8281944fb9f83b710/-/horizon-files-prod/ed/picture/q2jrpr0g/f33656f956f8153772bb15787f7c25924ee309f1.jpg"
"1732707815-19","https://www.expat-dakar.com/appartements-meubles?page=77","Studio  climatisé, meublé","3 chambre","Hann maristes,
                                                                                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f1165be1dad32902fb8d986b6322ee7/-/horizon-files-prod/ed/picture/qwezdm76/3f1163b87d65fa04287a0db1c6c1e949f18c65f0.jpg"
"1732707815-20","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement meublé à louer à VDN","1 chambre","VDN,
                                                                                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/928e921750a7bc3900da0d8330da3d9b/-/horizon-files-prod/ed/picture/migrated/q0nx6wj/0a9a15b8db2ed690bf275fb09f8065b191ac2520.jpg"
"1732707815-21","https://www.expat-dakar.com/appartements-meubles?page=77","Studio à la cité keur gorgui","1 chambre","Cité keur gorgui,
                                                                                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/6150cc4a44125676001c8efb2a1823b4/-/horizon-files-prod/ed/picture/qrzz8mpq/1a35f873df9ed76e464d075d7080fc3b1f7cc210.jpg"
"1732707817-22","https://www.expat-dakar.com/appartements-meubles?page=76","Studio meublé à louer à karack dans une zone calme","","Karack,
                                                                                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/db3da26f08b70d5509c602a3f2576e42/-/horizon-files-prod/ed/picture/q6xdmekg/03cc8aef37e4c13b303dddaebb31cee6ef2f4573.jpg"
"1732707817-23","https://www.expat-dakar.com/appartements-meubles?page=76","Appartement 2 chambres salon à louer à ngor almadies","2 chambre","Almadies,
                                                                                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/863c03cb039aba07701328640cd60a63/-/horizon-files-prod/ed/picture/qrzvg89n/0099c6f377da0c88d2a25c945e1d3d3e28235650.jpg"
"1732707817-24","https://www.expat-dakar.com/appartements-meubles?page=76","","","","",""
"1732707817-25","https://www.expat-dakar.com/appartements-meubles?page=76","Appartement meublé à louer à la Patte d'oie builders","1 chambre","Patte d‘oie,
                                                                                Dakar","27 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4c19e12da19d628b485089c420626a26/-/horizon-files-prod/ed/picture/q2jqejjp/885851e519a6887099d89869c54f9e6585080942.jpg"
"1732707817-26","https://www.expat-dakar.com/appartements-meubles?page=76","APPARTEMENT MEUBLÉ À LOUER AUX ALMADIES","3 chambre","Almadies,
                                                                                Dakar","70 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/7058e2e7d931316ea91b8eee3e1d2db5/-/horizon-files-prod/ed/picture/qenq45m5/43dcccaebb41a97649d30fdb0083c2e216989ff6.jpg"
"1732707817-27","https://www.expat-dakar.com/appartements-meubles?page=76","Appt F4 meublé Liberté 6","3 chambre","Liberte 6 extension,
                                                                                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ca9e14cfda51eacf095ccf68de967277/-/horizon-files-prod/ed/picture/q2jq84vv/8b76e4c9b55dabb317ffdcfcce6c988b0cc47fda.jpg"
"1732707817-28","https://www.expat-dakar.com/appartements-meubles?page=76","Appartement meublé Rufisque ( 2Ch+Sal+jardin+cuis éq )","2 chambre","Rufisque,
                                                                                Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f8a54ce9dd441081d55962d585b839b/-/horizon-files-prod/ed/picture/q8v56r0x/cef6288740acfe0d19aac9cf338df6f3d5878499.jpg"
