web-scraper-order,web-scraper-start-url,details ,surface_area,address,price,link_image-src
"1732710393-1","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrain cloturé à vendre keur massar Apix","150 m²","Yoff,
                                                                                Dakar","18 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f5d77a2a09329172d20fb2242448587/-/horizon-files-prod/ed/picture/q0g7nvjd/6f5d45c44c278d3dd96b637081143ddc3305f719.jpg"
"1732710393-2","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrain à Mboro","300 m²","Mboro,
                                                                                Thiès","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/62714fc1e696671e11eb2f002362a994/-/horizon-files-prod/ed/picture/qzv4d756/f910673ce110b4541674181b2e49cd14be6e8973.jpg"
"1732710393-3","https://www.expat-dakar.com/terrains-a-vendre?page=49","","","","",""
"1732710393-4","https://www.expat-dakar.com/terrains-a-vendre?page=49","GRAND TERRAIN A VENDRE SUR L’AUTOROUTE","14,000 m²","Nguekhokh,
                                                                                Thiès","425 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/11dfb28ab2f5c111f0401788f4254944/-/horizon-files-prod/ed/picture/qv4pvw0k/039efbc49bc75bc704f83a68c0576aa669744fe8.jpg"
"1732710393-5","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrain agricole à Thiès (Notto)","30,000 m²","Notto,
                                                                                Thiès","145 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/5b0ef90702552f61ac3a39345235526a/-/horizon-files-prod/ed/picture/qxj6e9rw/ff709f46c1e6554a26e052a3a2e8e4b6f81871d6.jpg"
"1732710393-6","https://www.expat-dakar.com/terrains-a-vendre?page=49","DES VILLAS HAUTS STANDING À VENDRE SUR THIES","5 chambre","Thiès,
                                                                                Thiès","130 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/f774a035566e12c22c132c16a21d2423/-/horizon-files-prod/ed/picture/q78wrjze/c5fe454263cca8582477a21d5a93b63195ec9a8a.jpg"
"1732710393-7","https://www.expat-dakar.com/terrains-a-vendre?page=49","Chambre meublée","1 chambre","Avenue Bourguiba,
                                                                                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7ab666d52a9121295626002d6b226cb/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/qpdm76pw/f1588d6fd4edb3c062e3a9a490511e6cc2d0f837.jpg"
"1732710393-8","https://www.expat-dakar.com/terrains-a-vendre?page=49","Mini studio meublé sur bourguiba","1 chambre","Avenue Bourguiba,
                                                                                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/e1a1c46c98a8cc8c0c30035b67243aa2/-/horizon-files-prod/ed/picture/qm5g4n7j/71d89a3e2a33378abe5d2073630129d8cd26f37c.jpg"
"1732710393-9","https://www.expat-dakar.com/terrains-a-vendre?page=49","Apparemment f3 neuf à louer à patte d’oie","2 chambre","Patte d‘oie,
                                                                                Dakar","350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d82b197e1d20e8753fbb2b5b784c4241/-/horizon-files-prod/ed/picture/q9mj65vj/182ae7d65e2579b59415cf99b04f41c38bb02b6c.jpg"
"1732710393-10","https://www.expat-dakar.com/terrains-a-vendre?page=49","Appartement a vendre a Liberté 6 extension","2 chambre","Liberte 6 extension,
                                                                                Dakar","80 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb0c81dc64eabdfddab6aba398d43498/-/horizon-files-prod/ed/picture/qj4q7pve/ff04ed56d3906de0ec3cfaa6cf06a81a7637dc26.jpg"
"1732710393-11","https://www.expat-dakar.com/terrains-a-vendre?page=49","Studio meublé à la foire","","Sud foire,
                                                                                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/69b7916e24c8433fcc9f61f70b2ed9ce/-/horizon-files-prod/ed/picture/migrated/q6qdd4j/106e858d098f524396b2288a3b6faa29ad370843.jpg"
"1732710393-12","https://www.expat-dakar.com/terrains-a-vendre?page=49","Chambre meublée","","Sud foire,
                                                                                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/278220a5ef6dfd309ecf90d312e558ce/-/horizon-files-prod/ed/picture/migrated/qj6qq7z/fcf9ab52f0825f67604614cbcf08e428b78e6217.jpg"
"1732710393-13","https://www.expat-dakar.com/terrains-a-vendre?page=49","Ref_5074_GL   Terrain à vendre  sur la  Route de Rufisque","7,300 m²","Rufisque,
                                                                                Dakar","2 920 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ea980d02a7dbc9049300145441eaca3/-/horizon-files-prod/ed/picture/q44nm6qm/025c34bca473956b6abdb2537ca333d2db975c6d.jpg"
"1732710393-14","https://www.expat-dakar.com/terrains-a-vendre?page=49","Ref_7183_JN  Showroom duplex R+2 à louer au point E","2,000 m²","Point-e,
                                                                                Dakar","12 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/e90448463799ce9d5dc02ee0b2c94129/-/horizon-files-prod/ed/picture/q0g70wkd/c0775d278a8cacfa1bad5bd176287313097d3fd8.jpg"
"1732710393-15","https://www.expat-dakar.com/terrains-a-vendre?page=49","Chambre Meublée","","Sicap foire,
                                                                                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d1a2a54b15d8937c8147dee340153e5e/-/horizon-files-prod/ed/picture/q5642m7g/2a6da77941d3f40af180491b207c7d2e18b7ef3c.jpg"
"1732710393-16","https://www.expat-dakar.com/terrains-a-vendre?page=49","Ref_3269_PL F3 meublé à louer à la cité Keur Gorgui","2 chambre","Cité keur gorgui,
                                                                                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4b7db1b055a2de0b6b318969e4e3b37a/-/horizon-files-prod/ed/picture/q2j0g57j/58d0e34f53536bbaf45ad65ea2449872421d7f84.jpg"
"1732710393-17","https://www.expat-dakar.com/terrains-a-vendre?page=49","Appartement lumineux à vendre au Mariste","3 chambre","Hann maristes,
                                                                                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-224w/dfae448c3347c844f65684d042a83ccd/-/horizon-files-prod/ed/picture/qj4q7pn6/cb7f7149045e9b5f5a2e764ccb530ba2742ef366.jpg"
